,comment
11179,"Знаю. Но не вижу смысла готовить что-то как в детском саду или как в школе . Лучше уж просто диетическое, намного честнее название. Тогда уж пишите ещё и как в больнице .
"
9518,"Игромания не переходит к Канобу, никоим образом. Гаджи - новый сотрудник, руководитель, но не владелец и не главред. И да, он создал Канобу и был его операционным директором, но не является им в настоящий момент. Нет никакой речи о пересечении между этими двумя площадками.
"
10813,"В любой части забора можно выйти
"
10480,"Да куда ж они у нас делись? Кто наркотой торгует преимущественно?
"
5240,"это бред.Приговор это меньше 12. Ну и важна толщина.
"
1234,"кусок окаменевшего говна весом в 1,3 кг . Там нет мозга ."
9782,"Если введут буду платить, только если деньги пойдут куда нужно, а не в карман.
"
9539,"Модешь дать ссылку на дискуссию про быдло ?
"
9311,"Ещё электросети и водоканал. Задолбали. Наглые сука что пиздец.
"
11829,"Знакомый опер так говорил: Чистосердечное признание смягчает вину, но увеличивает срок. Выбирать вам
"
10797,"почему на пикабу нет смайликов? ржачный смайл
"
1273,"Я уже не помню, что я писал. Да и не важно это было, т.к. Милиционеры сказали налом оплатить и если сейчас нету, то завтра принести. А я тупо забил, последствий не было."
10083,"Да за день. 8 в час получается. Дорога два часа туда и два обратно не оплачивается. Ну это же не официально все естественно.
"
10414,"Я сначала подумала это рецептик с кулинарной лиги! Красота, аж макарон захотелось :-)
"
3643,"Женщина красивая. Актриса никакая. Смотрел помню трансформеров - плевался.
"
1975,"Вот яндекс капча норм
"
11253,"Еще они низких температур бояться. Ниже 18 кажется. Поэтому может лучше зимой, в мороз диваны покупать.
"
6557,"Это кто там трындит? Пиздуй сосули сшибай.
"
13572,"это значит 5-6 рублей?
"
4451,"До сих пор удивлен что никто не вспомнил того кого нельзя называть
"
12112,"У меня единственный местный немобильный провайдер - Ростелеком. Если брать мобильных - историй о подписках роутеров на разнообразные развлекательные услуги не меньше. Да и качество у них по сравнению с РТ не лучше.
"
5645,"Ничего. Сейчас на этап отправят, петушить начнут, будет маски из спермы делать и вылечит всю хуйню на своей ебучке.
"
